Country,RDI,Percent Christian,Percent Muslim,Percent Unaffiliated,Percent Hindu,Percent Buddhist,Percent Folk Religions,Percent Other Religions,Percent Jewish,2010 Country Population
U.S. Virgin Islands,1.1,94.8%,0.1%,3.7%,0.4%,< 0.1%,< 0.1%,0.6%,0.3%,"110,000"
Uganda,2.7,86.7%,11.5%,0.5%,0.3%,< 0.1%,0.9%,0.1%,< 0.1%,"33,420,000"
Ukraine,3.1,83.8%,1.2%,14.7%,< 0.1%,< 0.1%,< 0.1%,< 0.1%,0.1%,"45,450,000"
United Arab Emirates,4.4,12.6%,76.9%,1.1%,6.6%,2.0%,< 0.1%,0.8%,< 0.1%,"7,510,000"
United Kingdom,5.1,71.1%,4.4%,21.3%,1.3%,0.4%,0.3%,0.8%,0.5%,"62,040,000"
United States,4.1,78.3%,0.9%,16.4%,0.6%,1.2%,0.2%,0.6%,1.8%,"310,380,000"
Uruguay,5.7,57.9%,< 0.1%,40.7%,< 0.1%,< 0.1%,0.8%,0.3%,0.3%,"3,370,000"
Uzbekistan,0.7,2.3%,96.7%,0.8%,< 0.1%,< 0.1%,< 0.1%,< 0.1%,< 0.1%,"27,440,000"
Vanuatu,1.5,93.3%,< 0.1%,1.2%,< 0.1%,< 0.1%,4.1%,1.4%,< 0.1%,"240,000"
Vatican City,0.0,100.0%,< 0.1%,< 0.1%,< 0.1%,< 0.1%,< 0.1%,< 0.1%,< 0.1%,"< 10,000"
Venezuela,2.2,89.3%,0.3%,10.0%,< 0.1%,< 0.1%,0.2%,< 0.1%,< 0.1%,"28,980,000"
Vietnam,7.7,8.2%,0.2%,29.6%,< 0.1%,16.4%,45.3%,0.4%,< 0.1%,"87,850,000"
Wallis and Futuna,0.6,97.4%,< 0.1%,0.6%,< 0.1%,< 0.1%,1.2%,0.8%,< 0.1%,"10,000"
Western Sahara,0.1,0.2%,99.4%,0.4%,< 0.1%,< 0.1%,< 0.1%,< 0.1%,< 0.1%,"530,000"
Yemen,0.2,0.2%,99.1%,0.1%,0.6%,< 0.1%,< 0.1%,< 0.1%,< 0.1%,"24,050,000"
Zambia,0.5,97.6%,0.5%,0.5%,0.1%,< 0.1%,0.3%,0.9%,< 0.1%,"13,090,000"
Zimbabwe,2.7,87.0%,0.9%,7.9%,< 0.1%,< 0.1%,3.8%,0.3%,< 0.1%,"12,570,000"
